NOM;CODI;DATA_INI;DATA_FI;RESIDENCIA;IEPG_CONFIRMAT;R0_CONFIRMAT_M;IA14;TAXA_CASOS_CONFIRMAT;CASOS_CONFIRMAT;TAXA_PCRTAR;PCR;TAR;PERC_PCRTAR_POSITIVES;INGRESSOS_TOTAL;INGRESSOS_CRITIC;EXITUS;CASOS_PCR;CASOS_TAR;POSITIVITAT_PCR_NUM;POSITIVITAT_TAR_NUM;POSITIVITAT_PCR_DEN;POSITIVITAT_TAR_DEN;VACUNATS_DOSI_1;VACUNATS_DOSI_2
CATALUNYA;GLOBAL;2021-08-24;2021-08-30;--;;;0.0000;0.0000;276;0.0000;9596;43;1.5548;40;4;0;158;118;141;7;9480;39;1119;974
CATALUNYA;GLOBAL;2021-08-24;2021-08-30;Si;;;368.4619;145.4083;103;15222.7006;9397;1386;1.5280;36;1;16;81;22;81;22;5837;904;84;163
CATALUNYA;GLOBAL;2021-08-24;2021-08-30;No;140.886;0.788133;178.7592;73.4076;5683;1823.5409;87200;53973;5.1334;557;113;82;2315;3368;2570;3393;68952;47209;60791;201694
CATALUNYA;GLOBAL;2021-08-23;2021-08-29;No;152.875;0.798377;191.4825;79.7241;6172;1837.5172;87336;54919;5.5131;581;112;87;2496;3676;2756;3701;69058;48062;65196;203725
CATALUNYA;GLOBAL;2021-08-23;2021-08-29;--;;;0.0000;0.0000;287;0.0000;9869;41;1.5734;46;8;0;165;122;147;7;9751;37;1189;975
CATALUNYA;GLOBAL;2021-08-23;2021-08-29;Si;;;413.6373;151.0552;107;16306.9104;10045;1506;1.4683;36;1;14;77;30;76;30;6246;973;82;177
CATALUNYA;GLOBAL;2021-08-22;2021-08-28;Si;;;426.3429;153.8787;109;16393.0260;10026;1586;1.5047;36;1;17;78;31;78;31;6240;1004;83;176
CATALUNYA;GLOBAL;2021-08-22;2021-08-28;No;159.312;0.809281;196.8560;82.0104;6349;1838.3697;87192;55129;5.6556;609;114;93;2534;3815;2785;3837;68880;48207;65642;200402
CATALUNYA;GLOBAL;2021-08-22;2021-08-28;--;;;0.0000;0.0000;293;0.0000;9831;42;1.5998;49;9;1;167;126;148;8;9712;39;1187;975
CATALUNYA;GLOBAL;2021-08-21;2021-08-27;--;;;0.0000;0.0000;309;0.0000;9552;40;1.7218;57;12;1;178;131;156;7;9430;37;1215;985
CATALUNYA;GLOBAL;2021-08-21;2021-08-27;Si;;;434.8132;190.5837;135;16798.1929;10187;1712;1.9262;40;1;19;99;36;106;36;6306;1066;84;173
CATALUNYA;GLOBAL;2021-08-21;2021-08-27;No;166.657;0.821319;202.9141;85.3043;6604;1848.1480;87265;55813;5.8959;618;122;91;2611;3993;2904;4031;68888;48737;66740;201851
CATALUNYA;GLOBAL;2021-08-20;2021-08-26;No;178.274;0.841241;211.9173;91.0782;7051;1866.7485;87933;56585;6.2142;614;149;96;2741;4310;3042;4335;69310;49402;74650;192040
CATALUNYA;GLOBAL;2021-08-20;2021-08-26;--;;;0.0000;0.0000;330;0.0000;9870;40;1.6750;68;16;1;187;143;156;8;9756;35;1270;918
